Report Year,"NYC Borough, Block and Lot (BBL)",City,Primary Property Type - Portfolio Manager-Calculated,Year Built,ENERGY STAR Score,Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Address 1
2022,1-00022-0028,New York,Office,1981,67,25254182.6,25799775.6,1962.7,345540,52 Broadway
2022,1-00023-0050,Manhattan,Multifamily Housing,1956,90,22972356.6,23424136.1,1571,472059,20 Broad Street
2022,1-00024-0029,New York,Office,1932,89,19976099.6,20132278.7,1586.3,470000,30 Broad Street
2022,1-00024-0036,Manhattan,Office,1913,85,9757305.2,9966616.5,731.6,205940,"50 Broad Street, New York"
2022,1-00024-7501,New York,Multifamily Housing,1982,15,27089084.2,27035790.3,2004.4,319910,40 Broad St
2022,1-00025-0010,New York,K-12 School,1929,3,12527879.4,12527879.4,933.7,97962,41 Broad Street
2022,1-00025-0027,New york,Office,1902,88,17601428.3,18135953,1187.9,256270,40 Exchange Place
2022,1-00025-7501,New York,Multifamily Housing,2005,77,30110865.8,30234436.3,2182.2,483839,15 William Street
2022,1-00025-7502,New York,Multifamily Housing,1900,44,26124855.7,26367064.4,1963.5,434515,25 Broad Street
2022,1-00026-0014,New York,Multifamily Housing,1904,100,10320245.4,10287193.2,760.1,377214,37 Wall Street
2022,1-00026-0021,New York,Multifamily Housing,1997,67,33959699.2,33777924.6,2205.6,493187,45 Wall Street
2022,1-00026-7501,New York,Multifamily Housing,1914,64,52459597.3,Not Available,4047.4,944252,15 Broad Street
2022,1-00027-0009,New York,Multifamily Housing,1921,7,50639937.7,49664965,3077.3,400531,63 Wall Street
2022,1-00027-0009;1-00027-0017,New York,Multifamily Housing,1921,23,63980014,62881820.8,4193.3,711091,63 Wall Street / 67 Wall Street
2022,1-00027-0017,New York,Multifamily Housing,1921,53,13340076.3,13269264,1116,310560,67 Wall Street
2022,1-00027-7501,New York,Multifamily Housing,1836,1,22340925.8,22480879.9,1601,263582,55 wall street
2022,1-00027-7502,New York,Multifamily Housing,1929,90,33694151.5,33810026.1,2396.5,786942,20 Exchange Place
2022,1-00028-0001,New York,Multifamily Housing,1926,22,22014044.5,22655578.5,1351.1,239121,3 Hanover Square
2022,1-00028-0005,New York,Office,1963,69,24457227.9,24318639.7,1786.5,371000,5 Hanover Square
2022,1-00028-0012,New York,Office,1931,81,7790294.2,7493165.4,479.8,93390,76 Beaver Street
2022,1-00028-7501,Manhattan,Multifamily Housing,1987,38,8783278.4,8974488.5,586.2,108373,1 Wall Street Ct
2022,1-00029-0070,New York,Office,1929,100,62254673.6,62888105.2,4903.4,671172,75 Broad Street
2022,1-00029-7501,Manhattan,Multifamily Housing,1827,92,2772392.5,2845386,184.8,61238,56 Beaver St. (Alt: 48 Beaver St.)
2022,1-00029-7502,New York,Multifamily Housing,1900,Not Available,694635.5,694635.5,41.8,35559,1 HANOVER SQUARE
2022,1-00030-7501,New York,Office,1983,80,34125071.8,Not Available,2870.5,846479,7 Hanover
2022,1-00031-7501,New York,Multifamily Housing,1987,35,48419274.1,48766881.7,3596.4,683289,75 Wall Street
2022,1-00033-7501,New York,Multifamily Housing,2016,41,7386945.3,7330987,478.3,106598,101 wall st
2022,1-00037-0008,New York,Mixed Use Property,1965,Not Available,27435459.2,27606721.2,2078.7,264510,110 Wall Street
2022,1-00037-0013,Manhattan,Hotel,1961,18,3616027.6,3671325.7,236,34613,129 Front Street
2022,1-00038-0001,Manhattan,Office,1969,64,39416338.4,37966772.2,2950.1,519093,100 Wall Street
2022,1-00038-0001,Manhattan,Office,1969,64,39416338.4,37966772.2,2950.1,519093,100 Wall Street
2022,1-00038-0017,New York,Office,1973,76,61566037.2,60657140.5,4416.7,653425,88 Pine Street
2022,1-00039-0038,New York,Hotel,2010,76,2715383.4,2678090.6,207.6,42560,126 Water St
2022,1-00039-7501,New York,Multifamily Housing,1956,5,11029027.2,10420275.5,851.9,97677,130 Water Street
2022,1-00041-7501,New York,Multifamily Housing,1902,Not Available,Not Available,Not Available,Not Available,45352,50 Pine Street
2022,1-00041-7503,New York,Multifamily Housing,2004,14,6416598.3,6514850.1,492.6,86839,56 Pine Street
2022,1-00041-7504,New York,Multifamily Housing,1932,70,48700520.3,48517870.4,3771.7,1031916,70 Pine Street
2022,1-00042-0022,New York,Multifamily Housing,2002,5,39849886.2,39548256.5,2439.8,337000,10 Liberty Street
2022,1-00042-0031,New York,Office,1912,82,22511098,22744276.1,1747.2,527605,80 Maiden Lane
2022,1-00042-0031,New York,Office,1912,82,22511098,22744276.1,1747.2,527605,80 Maiden Lane
2022,1-00042-0031;1-00042-0036,New York,Office,1900,Not Available,23330861.7,23565614.2,1816.6,561134,80 & 90 Maiden Lane
2022,1-00042-0036,New York,Office,1900,100,819763.7,819763.7,69.3,33529,90 Maiden Lane
2022,1-00042-0036,New York,Office,1900,100,819763.7,819763.7,69.3,33529,90 Maiden Lane
2022,1-00043-0001,New York,Office,1927,80,15672319,15912137.4,1216.8,289049,44 Wall Street
2022,1-00043-0005,New York,Office,1919,78,5304821.1,5219153.1,448.5,110000,30 Wall Street
2022,1-00044-0001,New York City,Office,1960,42,202948862.3,206157661.3,15355.4,2200000,28 Liberty St
2022,1-00046-0003,New York,Office,1922,84,15146031.7,15227265.6,1263,379572,100 Broadway
2022,1-00047-7501,New York,Office,1915,77,100076140.8,101949335.6,7682.8,1910503,120 Broadway
2022,1-00051-0001,New York,Office,1907,84,16354357.5,16655860.5,1304.6,400294,101 Greenwich Street
2022,1-00052-0021,New York,Multifamily Housing,1900,74,4801620.1,5057899.5,366.3,60842,125 Cedar Street
2022,1-00053-0033,New York,Multifamily Housing,1929,21,5760266.9,5957014.4,358.5,57941,110 Greenwich Street
2022,1-00053-7501,New York,Multifamily Housing,1903,60,5320102.9,Not Available,417.1,66872,120 Greenwich Street
2022,1-00053-7502,New York,Hotel,2010,57,31413594.7,32248743.7,2339.5,396477,123 Washington Street
2022,1-00055-0014,New York,Multifamily Housing,1926,59,15676382.2,15931817.1,1083.8,258071,75 West Street
2022,1-00055-0016,New York,Hotel,1990,15,76816060.2,77014656.4,4385,374505,85 West Street
2022,1-00056-0001,New York,Hotel,2009,Not Available,Not Available,Not Available,Not Available,183235,130 Cedar Street
2022,1-00056-0004,New York,Multifamily Housing,1908,69,17858074.6,18042420.7,1326.2,357258,90 West Street
2022,1-00062-7501,New York,Office,1972,76,158572429.7,154850811.7,11983.6,2346193,165 Broadway
2022,1-00063-0003,New York,Office,1973,72,47397694,48165893.2,3566.5,693226,22 Cortlandt Street
2022,1-00064-0001,New York,Hotel,2008,42,3698206.7,3726250.8,256.9,37075,51 Nassau St
2022,1-00064-0008,New York,Multifamily Housing,1909,54,10907539.4,11150145.4,774.1,167428,55 Liberty Street
2022,1-00064-0012,New York,Office,1600,92,12258495.7,12634878.3,919.9,276000,150 Broadway
2022,1-00064-0016,New York,Hotel,1903,Not Available,Not Available,Not Available,Not Available,147844,170 Broadway
2022,1-00064-7502,New York,Multifamily Housing,1903,10,11469176.5,11527934.5,844.7,167280,166 Broadway
2022,1-00065-0010,New York,Multifamily Housing,1900,2,9220945.6,9111649,559,63146,11 Maiden Lane
2022,1-00065-0017,New York,Multifamily Housing,1927,53,9776684.7,9896333.6,660,168176,176 Broadway
2022,1-00065-0020,New York,Multifamily Housing,1920,Not Available,3667413.5,3785119.4,260.3,32721,12 John Street
2022,1-00065-0024,New York,Hotel,2012,22,4875045.4,4962645,331.1,50000,24 John Street
2022,1-00065-7502,New York,Multifamily Housing,2014,85,10090322,10270329,701,149160,180 Broadway
2022,1-00068-0007,New York,Office,1959,54,15128121.7,14983372.4,1140.3,155714,83 Maiden Lane
2022,1-00068-0011,New York,Office,1925,59,11318198.9,11401099,825.1,155026,75 Maiden Lane
2022,1-00068-0016,New York,Multifamily Housing,1907,1,24841575.5,25062293.4,1710.3,122959,84 William St
2022,1-00068-0016,New York,Multifamily Housing,1907,43,6860156.2,6938099.2,486.8,122959,84 William Street
2022,1-00068-0028,New York,Hotel,1998,5,15349054.4,15243657.1,918.1,71540,15 Gold St
